id;title;created_at;analysis_type;report_type;generated_by;content;status;data_collection_id
1;quaintly;2024-12-05T03:01:28;GRAPHICAL;INVESTMENT;westernise forecast oxidise;../fake-data/blob/hipster.txt;ARCHIVED;1
2;bah;2024-12-05T16:13:10;STATISTICAL;ACCOUNTS;amidst if lively;../fake-data/blob/hipster.txt;ACTIVE;2
3;um wobbly;2024-12-05T11:11:27;GRAPHICAL;INVESTMENT;funny minor injunction;../fake-data/blob/hipster.txt;ACTIVE;3
4;scare gadzooks majority;2024-12-05T11:08:20;GRAPHICAL;INVESTMENT;who;../fake-data/blob/hipster.txt;PENDING;4
5;symbolise;2024-12-05T12:35:05;STATISTICAL;ACCOUNTS;warm however snow;../fake-data/blob/hipster.txt;ACTIVE;5
6;undergo as past;2024-12-05T10:57:26;STATISTICAL;PAYMENT;mentor charming;../fake-data/blob/hipster.txt;PENDING;6
7;behest atop;2024-12-05T16:27:19;GRAPHICAL;INVESTMENT;once;../fake-data/blob/hipster.txt;ACTIVE;7
8;case;2024-12-05T10:16:36;GRAPHICAL;INVESTMENT;regular whoever infamous;../fake-data/blob/hipster.txt;PENDING;8
9;briskly;2024-12-05T20:02:10;GRAPHICAL;INVESTMENT;summarise truly indeed;../fake-data/blob/hipster.txt;ARCHIVED;9
10;silk;2024-12-05T05:48:03;STATISTICAL;ACCOUNTS;on woot duh;../fake-data/blob/hipster.txt;ACTIVE;10
