id;login;name;source;collected_at;data_type;status;description
1;stealthily;clinking likewise;gracefully navigate;2024-12-05T01:47:35;NUMERIC;ACTIVE;../fake-data/blob/hipster.txt
2;unethically attend but;classic;nor via stump;2024-12-05T11:02:54;NUMERIC;ACTIVE;../fake-data/blob/hipster.txt
3;rebuild defrag;farm yum rigidly;oof;2024-12-05T13:20:47;NUMERIC;PENDING;../fake-data/blob/hipster.txt
4;aftermath;exactly behind inspection;unzip;2024-12-04T23:47:17;NUMERIC;PENDING;../fake-data/blob/hipster.txt
5;venture;sonar subtract mid;following among;2024-12-05T04:15:32;NUMERIC;ACTIVE;../fake-data/blob/hipster.txt
6;when integer;yet what till;happily;2024-12-05T15:12:14;NUMERIC;ACTIVE;../fake-data/blob/hipster.txt
7;considerate;etch;yesterday knuckle who;2024-12-05T00:57:31;TEXT;ARCHIVED;../fake-data/blob/hipster.txt
8;noon brush;apropos meander plus;acknowledge;2024-12-05T18:34:24;TEXT;ACTIVE;../fake-data/blob/hipster.txt
9;patroller millet;brr average;furthermore;2024-12-05T08:01:58;TEXT;ARCHIVED;../fake-data/blob/hipster.txt
10;once;in-joke ecstatic but;volleyball limply chainstay;2024-12-05T14:35:02;TEXT;ACTIVE;../fake-data/blob/hipster.txt
