id;investment_type;activity_type;project_name;description;location;target_amount;current_amount;bond_issuer;activity_date;activity_amount;status;risk_level;login;created_by;created_date;last_modified_by;last_modified_date
1;BONDS;INVESTMENT;um;../fake-data/blob/hipster.txt;spiteful jealously;10871.99;31959.38;dearly proceed whether;2024-12-03T10:12:54;32655.61;CLOSED;HIGH;newsstand black as;conversation inasmuch righteously;2024-12-03T01:33:02;a when;2024-12-03T00:04:29
2;BONDS;INVESTMENT;yahoo aw;../fake-data/blob/hipster.txt;quarrelsomely huzzah;2576.1;12585.4;designation geez;2024-12-03T09:31:04;1018.55;COMPLETED;HIGH;upward when;before painfully follower;2024-12-03T16:21:25;crossly lest;2024-12-03T08:08:28
3;REAL_ESTATE;PROJECT;tough collaboration;../fake-data/blob/hipster.txt;if er the;19122.92;5577.06;linear;2024-12-03T07:21:50;6089.48;COMPLETED;MEDIUM;unhealthy meh;forearm;2024-12-03T07:02:28;apt;2024-12-03T21:59:03
4;BONDS;INVESTMENT;teriyaki smoke up;../fake-data/blob/hipster.txt;ugh vibration yawningly;26971.99;29840.8;huzzah huzzah free;2024-12-03T21:35:02;14545.5;COMPLETED;MEDIUM;brr;clinking overfeed grok;2024-12-03T08:07:44;integer trivial;2024-12-03T09:49:16
5;BONDS;PROJECT;aside but lazily;../fake-data/blob/hipster.txt;than twin;8548.32;31788.07;ah printer vibrant;2024-12-03T19:03:55;22365.98;ACTIVE;HIGH;bliss;shyly capitalise;2024-12-03T20:28:00;unabashedly;2024-12-03T04:46:34
6;BONDS;INVESTMENT;messy accidentally ha;../fake-data/blob/hipster.txt;consequently psst ack;30097.27;2631.12;traditionalism;2024-12-03T15:46:17;15453.3;COMPLETED;HIGH;gah cannibalise freckle;cauliflower mesh;2024-12-03T19:42:32;phew;2024-12-03T01:55:47
7;BONDS;INVESTMENT;fill cooperative;../fake-data/blob/hipster.txt;loyally while lively;3010.27;19732.54;yearningly;2024-12-03T14:45:25;17921.8;COMPLETED;LOW;zowie;department chairperson;2024-12-03T21:38:10;bah till;2024-12-03T07:37:08
8;BONDS;PROJECT;separately versus preside;../fake-data/blob/hipster.txt;pish thin;27463.3;30287.74;couch keenly;2024-12-03T16:35:25;23604.65;COMPLETED;MEDIUM;throughout ah via;injunction;2024-12-03T07:27:05;bah;2024-12-03T01:24:53
9;BONDS;PROJECT;custom than;../fake-data/blob/hipster.txt;lively kiddingly instead;4653;23216.07;unlike wordy implode;2024-12-03T18:13:20;20556.24;CLOSED;HIGH;without;generally longboat;2024-12-03T01:07:59;including for ah;2024-12-03T14:01:10
10;REAL_ESTATE;INVESTMENT;because eke till;../fake-data/blob/hipster.txt;chatter;16948.23;30070.29;owlishly;2024-12-03T18:46:05;21125.41;ACTIVE;MEDIUM;immediately;modulo after;2024-12-02T22:36:09;whoa not;2024-12-03T06:56:43
