id;login;title;message;type;channel;sent_at;is_read;created_at;read_at
1;beneath;opposite however warmly;../fake-data/blob/hipster.txt;ALERT;EMAIL;2024-12-06T17:41:48;true;2024-12-06T18:41:57;2024-12-06T18:19:42
2;qua boss often;subtle under provided;../fake-data/blob/hipster.txt;ALERT;IN_WEPAPP;2024-12-07T09:06:38;true;2024-12-07T16:01:16;2024-12-06T18:00:24
3;solidly after;over degenerate;../fake-data/blob/hipster.txt;ALERT;IN_WEPAPP;2024-12-06T17:10:31;false;2024-12-06T17:34:19;2024-12-07T03:29:06
4;elevator function;aside reopen;../fake-data/blob/hipster.txt;MESSAGE;IN_WEPAPP;2024-12-07T08:52:09;true;2024-12-07T10:38:43;2024-12-06T22:05:08
5;ack;spice helpfully huge;../fake-data/blob/hipster.txt;MESSAGE;IN_WEPAPP;2024-12-07T13:01:59;true;2024-12-07T15:31:23;2024-12-07T13:19:16
6;navigate;ah about;../fake-data/blob/hipster.txt;MESSAGE;IN_WEPAPP;2024-12-06T17:45:15;true;2024-12-07T13:10:44;2024-12-07T00:40:59
7;accurate;ouch;../fake-data/blob/hipster.txt;MESSAGE;EMAIL;2024-12-07T12:52:46;true;2024-12-06T19:35:59;2024-12-07T04:08:54
8;along whoa;dash um nectarine;../fake-data/blob/hipster.txt;ALERT;EMAIL;2024-12-06T17:11:43;false;2024-12-07T09:59:30;2024-12-06T18:04:28
9;aha so nucleotidase;truly genuine urgently;../fake-data/blob/hipster.txt;ALERT;IN_WEPAPP;2024-12-07T13:36:07;false;2024-12-06T17:38:07;2024-12-06T21:26:28
10;hello;wordy;../fake-data/blob/hipster.txt;ALERT;EMAIL;2024-12-07T04:22:53;true;2024-12-07T02:06:54;2024-12-06T20:41:04
