id;bill_reference;bill_issuer;amount;payment_date;description;payment_id
1;vivacious readies;creative;17329.86;2024-12-02T13:05:19;jot sauerkraut;1
2;for meal plan;times stay buck;21616.67;2024-12-02T00:04:51;chiffonier;2
3;ripe eek;apud;18430.42;2024-12-02T13:43:34;fashion sympathetically king;3
4;pfft ouch provided;plus;19834.36;2024-12-02T18:41:28;yum;4
5;among rag ouch;why shoot;25054.74;2024-12-02T01:46:03;or whoa slowly;5
6;how till dereference;encouragement wherever;3054.68;2024-12-02T01:07:26;hence summarise hastily;6
7;once;challenge failing kiddingly;9430.7;2024-12-02T12:48:48;down yesterday annual;7
8;oh by;amongst;21274.67;2024-12-01T23:30:43;fully;8
9;character when piglet;vibrant;29559.6;2024-12-02T20:57:19;yuck hospitable;9
10;whoever;psst irritably indeed;15665.54;2024-12-01T23:14:21;provided yum private;10
